Property locality,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Annandale,,1862500.0,1752000.0,1794763.6752136752,1885636.3566433566,2575486.371069182,2412080.888888889,2523272.2772277226,2584020.8333333335,
Annangrove,,,,2897000.0,2432800.0,3682793.3076923075,3511281.25,4055500.0,2937500.0,
Appin,,,1099356.5,800013.5135135135,877572.2,854224.5483870967,992622.5,1979932.1951219512,5929677.083333333,
Apple Tree Flat,,,,,920998.0,679845.75,330000.0,,,
Appleby,,,,,650000.0,,1150000.0,39000.0,,
Appletree Flat,,,319900.0,340000.0,,,3600000.0,,60000.0,
Apsley,,,,326666.6666666667,426500.0,2329266.6666666665,781250.0,522800.0,1519000.0,
Arable,,,1504689.0,,,,,,,
Arakoon,3850000.0,,,852250.0,636611.1111111111,1060500.0,1194722.1666666667,1218000.0,1260000.0,
Araluen,14672.0,,925000.0,274285.71428571426,188839.46153846153,466571.4285714286,385000.0,402142.85714285716,391827.2727272727,
Aratula,,,20779.0,,,,,8207.833333333334,4407161.333333333,
Arcadia,,,2460000.0,1956363.6363636365,2109583.3333333335,2746000.0,3206712.470588235,3159500.0,3724588.2352941176,
Arcadia Vale,,,354500.0,523407.4074074074,490628.2571428571,592428.75,861348.4848484849,942753.3333333334,933761.9047619047,700000.0
Ardglen,,,,1510655.25,1635000.0,,606250.0,1726250.0,437500.0,
Arding,,,,,467500.0,959625.0,2203521.25,1575000.0,2111250.0,
Ardlethan,,,,417242.8846153846,613445.3225806452,125890.27777777778,206877.77777777778,414500.0,863140.8181818182,
Argalong,,,,26350.0,180000.0,42000.0,375000.0,,480000.0,
Argenton,,,396500.0,430411.9583333333,450841.6666666667,686090.2,622935.4838709678,723125.0,759035.55,
Argents Hill,,,330000.0,515000.0,137250.0,339000.0,65000.0,1035000.0,482500.0,
Argoon,483.0,,50184.0,,,,,,,
Ariah Park,,,78580.5,325127.0588235294,393549.6666666667,564359.1764705882,393433.5,577893.3333333334,820915.6428571428,160000.0
Arkell,,,247469.66666666666,357500.0,1819334.5,937500.0,2583750.0,1300000.0,1071391.6,
Arkstone,,,,350000.0,,2700000.0,170000.0,,,
